Team,Home_PPG
TOR,114.97142857142858
LAC,117.76470588235294
CHA,104.2258064516129
IND,110.75
ORL,106.05714285714286
BKN,112.38888888888889
MIA,115.75
PHI,113.44117647058823
DAL,117.71052631578948
SAS,114.73529411764706
POR,117.33333333333333
PHX,114.48717948717949
UTA,111.48571428571428
DET,109.3030303030303
HOU,119.0
GSW,106.97058823529412
BOS,117.05714285714286
MEM,113.19444444444444
OKC,113.16666666666667
NOP,117.58333333333333
DEN,111.86111111111111
SAC,110.37142857142857
LAL,113.58823529411765
MIL,120.97222222222223
ATL,114.58823529411765
NYK,105.39393939393939
CLE,108.55555555555556
CHI,106.11764705882354
MIN,110.125
WAS,114.0
